State,miscarriage_funeral,miscarried_funeral,stillbirth_funeral,stillborn_funeral
Utah,32,0,20,48
Maryland,44,0,16,40
Wisconsin,39,0,14,47
Michigan,41,0,12,47
Virginia,40,8,11,41
Tennessee,45,0,11,44
New_York,40,6,10,44
Georgia,38,7,10,45
California,37,6,10,47
Missouri,39,0,10,51
Indiana,44,8,9,39
Illinois,49,0,9,42
Pennsylvania,37,8,9,46
Texas,43,7,8,42
Florida,45,6,7,42
Ohio,42,6,7,45
Massachusetts,61,0,0,39
Washington,44,15,0,41
Nebraska,57,0,0,43
Oregon,57,0,0,43
North_Carolina,48,8,0,44
West_Virginia,56,0,0,44
Colorado,56,0,0,44
Minnesota,53,0,0,47
Kansas,50,0,0,50
Connecticut,49,0,0,51
South_Carolina,48,0,0,52
Kentucky,47,0,0,53
Arizona,46,0,0,54
Oklahoma,44,0,0,56
Alabama,44,0,0,56
South_Dakota,43,0,0,57
Mississippi,42,0,0,58
Arkansas,41,0,0,59
Iowa,39,0,0,61
New_Jersey,39,0,0,61
Louisiana,37,0,0,63
Alaska,0,0,0,100
Nevada,0,0,0,100
New_Mexico,0,0,0,100
District_of_Columbia,100,0,0,0
Rhode_Island,0,0,0,0
New_Hampshire,0,0,0,0
North_Dakota,0,0,0,0
Montana,0,0,0,0
Maine,0,0,0,0
Vermont,0,0,0,0
Idaho,0,0,0,0
Hawaii,0,0,0,0
Delaware,0,0,0,0
Wyoming,0,0,0,0
