State,miscarriage,stillbirth
Utah,32,114
Maryland,65,84
Wisconsin,39,103
Michigan,59,84
Virginia,65,85
Tennessee,67,76
New_York,58,82
Georgia,60,83
California,59,87
Missouri,58,91
Indiana,75,74
Illinois,69,75
Pennsylvania,64,84
Texas,69,78
Florida,69,76
Ohio,68,81
Massachusetts,77,57
Washington,84,59
Nebraska,78,75
Oregon,57,86
North_Carolina,69,71
West_Virginia,56,44
Colorado,56,79
Minnesota,73,73
Kansas,74,87
Connecticut,49,89
South_Carolina,48,52
Kentucky,47,93
Arizona,66,90
Oklahoma,44,100
Alabama,44,103
South_Dakota,43,57
Mississippi,42,58
Arkansas,41,112
Iowa,62,88
New_Jersey,53,99
Louisiana,59,107
Alaska,0,100
Nevada,0,200
New_Mexico,0,100
District_of_Columbia,100,0
Rhode_Island,0,0
New_Hampshire,0,0
North_Dakota,0,0
Montana,0,0
Maine,0,0
Vermont,0,0
Idaho,0,0
Hawaii,0,0
Delaware,0,0
Wyoming,0,0
